Name,Latitude,Longitude
"ABUCAY, BATAAN",14.7388333,120.4499833
"ABULUG, CAGAYAN",18.34899,121.44237
"ABUYUG, LEYTE",10.686433,124.959533
"AGLIPAY, QUIRINO",16.40634,121.65147
"ALCANTARA, ROMBLON",12.6196667,122.0693333
"ARAKAN, COTABATO",7.34503,125.14095
"AYUTI, QUEZON",14.1136327,121.5436179
"BABATNGON, LEYTE",11.630433,124.943633
"BAGABAG, NUEVA VIZCAYA",16.60971,121.29043
"BAGO CITY, NEGROS OCCIDENTAL",10.581,122.841778
"BAIS, NEGROS ORIENTAL",9.38108,123.20212
"BALBALAN, KALINGA",17.4801,121.2324667
"BANAYBANAY, DAVAO ORIENTAL",6.967861111,126.0093056
"BANGA, AKLAN",11.63578,122.33097
"BARILI, CEBU",10.13154,123.54626
"BARLIG, MOUNTAIN PROVINCE",17.057701,121.084514
"BASILAN, ISABELA CITY",6.7275,122.015694
"BOTOLAN, ZAMBALES",15.243,120.0246167
"BUCAY, ABRA",17.50143,120.6996
"CALINOG, ILOILO",11.12216667,122.5410833
"CAN-AVID, EASTERN SAMAR",12.01566667,125.4188889
"CANTILAN, SURIGAO DEL SUR",9.302416667,125.9522167
"CARMEN, BOHOL",9.76697,124.50532
"CASTILLA, SORSOGON",12.98219444,123.7945833
"CATEEL, DAVAO ORIENTAL",7.794055556,126.4416111
"CATUBIG, NORTHERN SAMAR",12.424583,125.035217
"DANGCAGAN, BUKIDNON",7.577611111,124.9995278
"DULAG, LEYTE",10.91905556,125.0101111
"DUMINGAG, ZAMBOANGA DEL SUR",8.189444444,123.3388889
"ESPERANZA, AGUSAN DEL SUR",9.45006,125.578398
"GERONA, TARLAC",15.59952,120.55885
"GINGOOG CITY, MISAMIS ORIENTAL",8.811611111,125.1087778
"GUIMBA, NUEVA ECIJA",15.624455,120.751208
"GUINSILIBAN, CAMIGUIN",9.105433333,124.7704167
"ILAGAN, ISABELA",17.1309,121.88942
"IPIL, ZAMBOANGA SIBUGAY",7.797222222,122.6036389
"ISING, DAVAO DEL NORTE",7.362777778,125.7044444
"JUBAN, SORSOGON",12.98220582,123.9848414
"KALAWIT, ZAMBOANGA DEL NORTE",7.917861111,122.5319444
"KALILANGAN, BUKIDNON",7.740333333,124.7451667
"KAPATAGAN, LANAO DEL SUR",7.541738889,124.2120444
"KIAMBA, SARANGANI",5.978222222,124.6766111
"KIDAPAWAN, COTABATO",7.026916667,125.0680833
"KITCHARAO, AGUSAN DEL NORTE",8.974722222,125.5886111
"KORONADAL, SOUTH COTABATO",6.476667,124.862778
"LABO, CAMARINES NORTE",14.1848333,122.7854444
"LANAO DEL NORTE, LANAO DEL NORTE",7.899166667,123.7668611
"LASAM, CAGAYAN",18.0746,121.61637
"LEMERY, BATANGAS",13.91844,120.88719
"MAGALANG, PAMPANGA",15.23831667,120.7056833
"MAINIT, SURIGAO DEL NORTE",9.537972222,125.5563611
"MALITBOG, SOUTHERN LEYTE",10.16725,124.9866111
"MARAGUSAN, COMPOSTELA VALLEY",7.289972222,126.0183333
NAIA,14.51271831,121.0162974
"NAIC CAMPUS, CAVITE",14.3165,120.74533
"NAVAL, BILIRAN",11.592417,124.4212
"NSWRRDC SAN ILDEFONSO, BULACAN",15.0784,120.9541667
"PALAYAN CITY, NUEVA ECIJA",15.5658333,121.0943833
"PAMPLONA, CAMARINES SUR",13.46705556,123.4128889
"PANDAN, CATANDUANES",14.04652778,124.1724167
"PANIT-AN, CAPIZ",11.480043,122.7554114
"PATNONGON, ANTIQUE",10.9257242,121.9995022
"PIGCAWAYAN, COTABATO",7.297361111,124.4149167
"PINAMALAYAN, ORIENTAL MINDORO",13.04725,121.4250278
"PLARIDEL, MISAMIS OCCIDENTAL",8.586833333,123.7090833
"POBLACION LILOY, ZAMBOANGA DEL NORTE",8.1219,122.670967
"POLANCO, ZAMBOANGA DEL NORTE",8.546027778,123.4041389
"PROSPERIDAD, AGUSAN DEL SUR",8.43626,125.73788
"ROXAS PALAWAN, PALAWAN",10.33711111,119.2536111
"ROXAS, ISABELA",17.13882,121.61517
"SABLAYAN, OCCIDENTAL MINDORO",12.86036111,120.7894722
"SAN ANTONIO, QUEZON",13.88516667,121.1686111
"SAN FRANCISCO, SURIGAO DEL NORTE",9.777527778,125.4165833
"SAN JOSE - CAMARINES SUR, CAMARINES SUR",13.69841667,123.50975
"SAN JOSE - NEGROS ORIENTAL, NEGROS ORIENTAL",9.766944444,124.2053889
"SAN JOSE - OCCIDENTAL MINDORO, OCCIDENTAL MINDORO",12.45022222,121.043222
"SAN LUIS, AURORA",15.7086333,121.522
"SAN MIGUEL, LEYTE",11.35972222,124.8131944
"SEN. NINOY AQUINO, SULTAN KUDARAT",6.45933,124.32153
"SIQUIJOR, SIQUIJOR",9.58925,123.0955
"STA. BARBARA - ILOILO, ILOILO",10.79147222,122.5078056
"STA. BARBARA - PANGASINAN, PANGASINAN",15.982233,120.47055
"STA. CRUZ - LAGUNA, LAGUNA",14.27527778,121.4005556
"STA. CRUZ - MARINDUQUE, MARINDUQUE",13.45963889,122.0763056
"STA. MARIA - ILOCOS SUR, ILOCOS SUR",17.3683667,120.4756167
"STA. MARIA - PANGASINAN, PANGASINAN",15.95419444,120.6774167
"STO TOMAS, DAVAO DEL NORTE",7.495,125.5982222
"SUAL, PANGASINAN",16.068867,120.0846833
"SUDIPEN, LA UNION",16.90865,120.46268
"SULOP, POBLACION, DAVAO DEL SUR",6.6005,125.3478056
"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",7.272555556,124.3151111
"TABUK, KALINGA",17.41387,121.43575
"TACURONG CITY, SULTAN KUDARAT",6.664722222,124.6295
"T'BOLI, SOUTH COTABATO",6.213194444,124.8229444
"TUMAUINI(BRGY. ARCON), ISABELA",17.28588,121.8238
"UBAY, BOHOL",9.99523,124.40853
"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",7.025861111,124.1664722
"VILLAREAL, SAMAR",11.56128,124.9944681
"VITALI DISTRICT, ZAMBOANGA CITY",7.379277778,122.2934444
